"gender"	"age"	"attitude"	"deep"	"stra"	"surf"	"points"
"1"	"F"	1	3.7	3.58333333333333	3.375	2.58333333333333	4
"2"	"M"	2	3.1	2.91666666666667	2.75	3.16666666666667	4
"3"	"F"	1	2.5	3.5	3.625	2.25	3
"4"	"M"	2	3.5	3.5	3.125	2.25	3
"5"	"M"	2	3.7	3.66666666666667	3.625	2.83333333333333	4
"6"	"F"	2	3.8	4.75	3.625	2.41666666666667	4
"7"	"M"	1	3.5	3.83333333333333	2.25	1.91666666666667	5
"8"	"F"	1	2.9	3.25	4	2.83333333333333	4
"9"	"M"	1	3.8	4.33333333333333	4.25	2.16666666666667	4
"10"	"F"	2	2.1	4	3.5	3	4
"11"	"M"	2	3.9	3.58333333333333	3.625	2.66666666666667	4
"12"	"F"	1	3.8	3.83333333333333	4.75	2.41666666666667	5
"13"	"F"	1	2.4	4.25	3.625	2.25	5
"14"	"F"	1	3	3.33333333333333	3.5	2.75	4
"15"	"M"	1	2.6	4.16666666666667	1.75	2.33333333333333	3
"16"	"F"	1	2.5	3.08333333333333	3.125	2.66666666666667	5
"17"	"F"	2	4.1	3.66666666666667	3.875	2.33333333333333	3
"18"	"F"	1	2.6	4.08333333333333	1.375	2.91666666666667	3
"19"	"F"	2	2.6	3.5	3.25	2.5	4
"20"	"M"	1	1.7	4.08333333333333	3	3.75	4
"21"	"F"	1	2.7	4	3.75	2.75	4
"22"	"M"	4	3.9	3.91666666666667	2.625	2.33333333333333	3
"23"	"M"	2	3.4	4	2.375	2.41666666666667	4
"24"	"F"	1	2.7	4	3.625	3	5
"25"	"F"	2	2.3	3.66666666666667	2.75	2.41666666666667	4
"26"	"F"	2	3.7	3.66666666666667	1.75	2.83333333333333	2
"27"	"F"	1	4.4	4.41666666666667	3.25	3.16666666666667	3
"28"	"M"	2	4.1	3.91666666666667	4	3	5
"29"	"F"	2	2.4	3.83333333333333	2.125	2.16666666666667	4
"30"	"F"	1	3.7	3.75	3.625	2	4
"31"	"F"	2	2.5	3.25	2.875	3.5	3
"32"	"M"	4	3	3.58333333333333	3	3.75	4
"33"	"M"	1	3.4	4.91666666666667	1.625	2.5	2
"34"	"F"	1	3.2	3.58333333333333	3.25	2.08333333333333	5
"35"	"F"	2	2	2.91666666666667	3.5	2.41666666666667	4
"36"	"F"	3	2.4	3.66666666666667	3	2.58333333333333	4
"37"	"M"	5	4.2	4.5	3.25	1.58333333333333	4
"38"	"F"	4	1.6	4.08333333333333	1.875	2.83333333333333	5
"39"	"M"	1	3.1	3.83333333333333	4.375	1.83333333333333	5
"40"	"M"	3	3.8	3.25	3.625	2.41666666666667	4
"41"	"M"	3	3.8	2.33333333333333	2.5	3.25	4
"42"	"M"	1	3.3	3.33333333333333	1.25	3.41666666666667	2
"43"	"F"	2	1.7	4.08333333333333	4	3.41666666666667	4
"44"	"F"	2	2.5	2.91666666666667	3	3.16666666666667	4
"45"	"M"	5	3.2	3.33333333333333	2.5	3.5	3
"46"	"F"	1	3.5	3.83333333333333	4.875	2.66666666666667	5
"47"	"F"	1	3.2	3.66666666666667	5	2.41666666666667	5
"48"	"F"	1	4.2	4.66666666666667	4.375	3.58333333333333	5
"49"	"M"	1	3.1	3.75	3.25	2.08333333333333	5
"50"	"F"	1	3.9	3.41666666666667	4	3.75	4
